Date,Monitor,Methylosmolene,Chlorodinine,AGOC-3A,Appluimonia,id
2016/4/1,1,7.1098859,6.7550991,5.0717635,4.70076357,1
2016/4/1,2,7.48328812,7.4370988,9.6522504,8.65562515,2
2016/4/1,3,31.3240434,35.3134101,34.5184837,26.370774,3
2016/4/1,4,7.1230605,5.94357604,3.96170896,4.9679295,4
2016/4/1,5,4.79642838,4.88781506,12.4636883,4.9959851,5
2016/4/1,6,9.050482,9.9243,7.7671139,9.4618957,6
2016/4/1,7,15.19661333,16.3272525,19.1405202,17.8878609,7
2016/4/1,8,10.09841556,11.2161062,9.2625084,11.3533812,8
2016/4/1,9,6.2436131,5.9948247,24.1065779,6.4143831,9
2016/4/2,1,5.2637936,4.6395827,5.1474677,4.93201424,10
2016/4/2,2,8.3230774,7.8112736,7.4281747,8.3878014,11
2016/4/2,3,26.869996,29.462471,42.961368,34.438765,12
2016/4/2,4,5.5749817,5.1831807,5.49395988,4.3011702,13
2016/4/2,5,4.5010251,5.5726354,32.651847,5.2385533,14
2016/4/2,6,178.460205,10.7694803,62.940845,8.9705629,15
2016/4/2,7,16.551579,17.00389,18.1945707,8.1147619,16
2016/4/2,8,9.9076407,9.5407234,10.6087159,9.7842072,17
2016/4/2,9,9.3394582,5.7137689,19.87212331,5.20386508,18
2016/4/3,1,5.31136538,5.1889276,5.2565903,4.34811723,19
2016/4/3,2,10.3745839,10.106865,9.4036448,12.17893025,20
2016/4/3,3,40.030174,25.7768277,28.4378123,29.095187,21
2016/4/3,4,6.1817721,4.8569928,5.04915023,4.16394321,22
2016/4/3,5,5.35972765,5.45550779,5.72115706,4.64491464,23
2016/4/3,6,51.58462834,42.59581816,13.2879165,10.709611,24
2016/4/3,7,13.2925546,14.54176534,15.0254012,13.9874366,25
2016/4/3,8,10.1340418,11.46807853,9.1800536,12.3049496,26
2016/4/3,9,7.00001704,6.6279908,6.6176318,5.93635125,27
2016/4/4,1,6.1350395,5.12092303,6.0418659,5.199534,28
2016/4/4,2,6.5074762,10.11643812,8.2697146,10.63492688,29
2016/4/4,3,26.9623871,37.523994,27.683338,33.2884273,30
2016/4/4,4,6.2524916,5.39251358,4.77504399,6.40848828,31
2016/4/4,5,5.5938865,4.5469626,5.1250774,6.5086454,32
2016/4/4,6,8.72936192,81.9816103,9.0690472,9.4295318,33
2016/4/4,7,12.34542141,16.2265203,11.019198,14.1264847,34
2016/4/4,8,10.84727131,15.6467099,10.969117,10.8647731,35
2016/4/4,9,6.2409814,4.0889462,5.9861992,5.505941,36
2016/4/5,1,4.12806566,5.2819967,6.1135737,5.50249349,37
2016/4/5,2,8.4715565,8.322434,10.0060468,7.2716823,38
2016/4/5,3,32.556554,33.169943,30.2164765,34.877584,39
2016/4/5,4,6.0328022,5.87111882,6.3898273,5.20615902,40
2016/4/5,5,6.4907115,6.148907,6.6510467,4.67076097,41
2016/4/5,6,10.669299,11.085926,9.5864057,10.2814543,42
2016/4/5,7,23.1036364,8.5744559,14.0252712,18.2127452,43
2016/4/5,8,10.3207487,8.05568142,9.8247361,10.5794502,44
2016/4/5,9,5.16957802,6.9749655,4.871445,5.73296837,45
2016/4/6,1,5.5427814,4.64047835,5.476025,5.0472726,46
2016/4/6,2,7.3583441,9.3526965,8.7729678,5.79037285,47
2016/4/6,3,23.7468061,27.9725989,33.7355671,31.097877,48
2016/4/6,4,5.0618458,4.331237,4.5898534,5.232149,49
2016/4/6,5,4.67450362,9.2722762,72.5220203,5.33859314,50
2016/4/6,6,9.1546584,14.8553478,179.7066199,10.27438468,51
2016/4/6,7,14.6918247,10.4702075,10.9334341,14.9803287,52
2016/4/6,8,12.3856693,7.2931143,11.8516217,12.6583704,53
2016/4/6,9,6.6049611,7.7125616,25.0452818,5.874308,54
2016/4/7,1,6.14379368,5.917358,5.12063599,5.55600799,55
2016/4/7,2,9.00132291,7.4213415,7.8254298,9.4462989,56
2016/4/7,3,44.0078755,37.1060093,43.4556085,36.247602,57
2016/4/7,4,75.0688823,21.67440012,13.3852549,5.08995588,58
2016/4/7,5,7.8441877,5.52870053,31.6451167,8.47299395,59
2016/4/7,6,9.09062,9.3186665,9.0618317,9.727864,60
2016/4/7,7,14.71269853,15.5140487,13.6140719,17.3679661,61
2016/4/7,8,9.57427117,10.1632663,12.0265167,13.518425,62
2016/4/7,9,6.2376738,4.66140689,4.54286393,18.5233016,63
2016/4/8,1,5.86933817,6.70987763,6.68512143,4.99396515,64
2016/4/8,2,8.1878482,8.0616481,7.4872544,7.00336664,65
2016/4/8,3,46.967985,27.8587617,31.6937339,22.137322,66
2016/4/8,4,9.8668138,7.1104695,6.5885427,6.2313702,67
2016/4/8,5,5.9923117,17.3126719,78.898182,4.3868941,68
2016/4/8,6,9.524722,9.369841,9.3065557,8.9043277,69
2016/4/8,7,17.412731,16.2567119,12.4942841,12.4282273,70
2016/4/8,8,11.67294455,11.5319528,8.84926699,10.29186005,71
2016/4/8,9,4.4381225,7.31895975,35.3582799,6.0844445,72
2016/4/9,1,6.898445,5.727293,5.80452776,5.5236496,73
2016/4/9,2,6.65955476,7.34035561,8.93907617,7.10814186,74
2016/4/9,3,30.989849,27.085247,25.014253,28.043498,75
2016/4/9,4,6.1296584,4.550727,6.03277814,6.06424974,76
2016/4/9,5,6.918774,5.66621918,5.7698653,7.1443059,77
2016/4/9,6,109.6816849,30.4784409,19.428892,10.089405,78
2016/4/9,7,15.4196478,15.0504861,17.733421,12.2800797,79
2016/4/9,8,12.5338615,11.42621004,15.0356122,11.16813114,80
2016/4/9,9,6.47273061,6.0531227,5.32033045,4.6432322,81
2016/4/10,1,5.98615,5.9127218,5.31868714,6.2194465,82
2016/4/10,2,8.04450047,9.34298445,7.9246497,6.4148827,83
2016/4/10,3,27.179005,30.3317996,42.5961998,31.0590808,84
2016/4/10,4,6.2415482,5.9177694,5.9094921,5.9794382,85
2016/4/10,5,6.4881379,5.38283801,4.6441243,4.68567027,86
2016/4/10,6,7.3444674,21.7529933,6.8939052,11.406452,87
2016/4/10,7,21.47182646,9.50529729,15.4722744,12.8773996,88
2016/4/10,8,10.5923211,11.2919002,14.6647352,10.248284,89
2016/4/10,9,7.16064,5.3173407,6.71474622,5.5426144,90
2016/4/11,1,6.3990553,5.72104188,4.89888271,4.61139848,91
2016/4/11,2,8.6308839,8.4701372,7.3269587,7.9568975,92
2016/4/11,3,27.5511458,25.971684,26.52454528,28.5856138,93
2016/4/11,4,5.8112568,12.549393,7.52775361,5.4846673,94
2016/4/11,5,6.084639,6.3545634,26.8151488,6.66822083,95
2016/4/11,6,35.5304287,11.219316,11.75688132,11.2179887,96
2016/4/11,7,12.8538513,15.73621,14.467353,15.8180954,97
2016/4/11,8,10.21000271,10.937108,12.1949831,10.1423472,98
2016/4/11,9,48.2646498,4.8531247,9.6466539,9.09361582,99
2016/4/12,1,4.15204491,3.93482085,5.7287981,5.8543581,100
2016/4/12,2,8.81339,6.4599507,5.5465837,9.8866914,101
2016/4/12,3,23.485127,32.3727246,28.16507,28.4247933,102
2016/4/12,4,22.3567275,13.7955534,32.146031,7.546489,103
2016/4/12,5,7.0277229,7.91213864,11.98687435,6.1409945,104
2016/4/12,6,9.3598966,9.0542694,29.437705,10.4909563,105
2016/4/12,7,11.3829304,13.761239,21.849398,13.824023,106
2016/4/12,8,11.4599042,9.43450705,12.232182,9.975781,107
2016/4/12,9,5.98558867,7.2761414,5.95715548,8.7241331,108
2016/4/13,1,5.68972852,6.3923053,5.3138357,5.35255075,109
2016/4/13,2,7.17353024,7.8722183,10.00531172,9.3592983,110
2016/4/13,3,26.5284741,19.0508014,31.356777,20.7978188,111
2016/4/13,4,6.7934717,7.17468391,5.2239409,7.12841828,112
2016/4/13,5,5.67871137,6.247785,7.97076379,6.0373034,113
2016/4/13,6,9.59094552,17.931712,8.5451857,10.7284911,114
2016/4/13,7,16.1802476,15.306072,17.620271,14.413025,115
2016/4/13,8,14.0241139,9.2306969,14.499664,13.2791521,116
2016/4/13,9,4.1699473,4.71342143,5.8358529,6.09672654,117
2016/4/14,1,6.3245224,6.0859064,4.96255528,5.63954592,118
2016/4/14,2,8.8915714,7.8283767,9.0784169,7.5142856,119
2016/4/14,3,31.153103,37.399749,30.7964262,26.193207,120
2016/4/14,4,5.58172028,7.1896045,5.9325589,7.6316936,121
2016/4/14,5,6.4130027,6.1522715,5.04374027,6.3713502,122
2016/4/14,6,8.796324,9.970013,9.5345082,8.7665318,123
2016/4/14,7,62.8764927,10.2893736,45.9513045,10.5509662,124
2016/4/14,8,10.4842305,21.3420628,12.3126719,12.2050129,125
2016/4/14,9,5.4150137,6.415505,5.6019169,5.44983438,126
2016/4/15,1,5.9200871,6.42522935,5.9477657,5.19714927,127
2016/4/15,2,10.7484331,9.2705654,7.22368667,9.6781354,128
2016/4/15,3,28.233601,36.578961,24.9457624,30.591333,129
2016/4/15,4,7.55523113,7.5081931,7.75275189,7.6838131,130
2016/4/15,5,7.1382944,4.28421079,6.2703317,7.0033841,131
2016/4/15,6,10.43065,9.60147286,181.8347965,8.666971,132
2016/4/15,7,82.4123356,14.6050225,77.987462,17.4045669,133
2016/4/15,8,40.7971228,13.365698,211.1680176,11.6437703,134
2016/4/15,9,5.7466031,8.3803812,4.8492353,5.8483308,135
2016/4/16,1,4.95485504,12.7067116,5.5596661,7.02803229,136
2016/4/16,2,8.1329599,7.3808843,8.20455288,8.90393381,137
2016/4/16,3,34.88980045,26.965544,28.21655,30.865122,138
2016/4/16,4,8.7000112,7.9853161,6.84681187,7.14494356,139
2016/4/16,5,6.2353043,5.8915462,7.3999119,5.64416243,140
2016/4/16,6,11.3329178,11.9382661,67.2865238,13.889805,141
2016/4/16,7,16.06299917,16.0527506,72.94316004,17.2889512,142
2016/4/16,8,9.5319688,13.9383325,30.7051146,14.4779312,143
2016/4/16,9,6.0397992,4.87250793,4.4790174,5.86901527,144
2016/4/17,1,4.07698166,5.51687395,4.49993367,5.28524707,145
2016/4/17,2,31.1355923,7.70356899,10.5502735,7.93956509,146
2016/4/17,3,47.3515565,33.4947997,67.5722233,34.24986,147
2016/4/17,4,8.04507,12.03896339,32.7604925,8.87210884,148
2016/4/17,5,5.40454137,6.0855727,10.6631588,7.4783784,149
2016/4/17,6,8.1181178,10.6194385,77.9466691,14.00549424,150
2016/4/17,7,16.9894715,10.95827943,18.770899,21.0847204,151
2016/4/17,8,12.52849191,10.41519966,9.78485598,13.5513155,152
2016/4/17,9,5.97124005,6.9877459,6.1548672,9.0856936,153
2016/4/18,1,6.0804209,6.9163979,6.67200964,5.7079492,154
2016/4/18,2,8.6805806,6.4468472,7.5248737,8.3147126,155
2016/4/18,3,29.715731,31.763011,24.0032498,29.954738,156
2016/4/18,4,8.562855,6.7496672,7.761435,8.1638848,157
2016/4/18,5,6.6032764,4.894339,6.3355143,6.45667767,158
2016/4/18,6,8.8937254,10.2505161,8.9582525,10.36781,159
2016/4/18,7,19.6262862,17.2329713,12.59370895,12.2401973,160
2016/4/18,8,10.41246469,9.4927678,9.22784079,11.06384552,161
2016/4/18,9,6.44540656,6.16421414,5.45791,5.5906858,162
2016/4/19,1,5.2636578,7.18858987,5.09962056,4.4812545,163
2016/4/19,2,7.16490865,10.3191162,10.0247304,6.48312895,164
2016/4/19,3,26.35779021,28.2081156,34.5231073,29.797066,165
2016/4/19,4,7.84521442,6.35591931,7.8265871,8.601864,166
2016/4/19,5,6.0540409,6.55272081,6.0163434,5.39492749,167
2016/4/19,6,10.602278,9.4943299,9.4780445,7.935623,168
2016/4/19,7,92.93644,25.149617,60.70862151,13.4563204,169
